Mod Key,Group,Generation Type,Required Level,Stats,Spawn Weights
Strength1,,suffix,1,additional_strength (8 to 12),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength2,,suffix,11,additional_strength (13 to 17),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength3,,suffix,22,additional_strength (18 to 22),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength4,,suffix,33,additional_strength (23 to 27),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength5,,suffix,44,additional_strength (28 to 32),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength6,,suffix,55,additional_strength (33 to 37),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength7,,suffix,66,additional_strength (38 to 42),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength8,,suffix,74,additional_strength (43 to 50),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength9,,suffix,82,additional_strength (51 to 55),"ring:1000, amulet:1000, belt:1000, str_armour:1000, str_dex_armour:500, str_int_armour:500, str_dex_int_armour:333, sword:500, mace:1000, sceptre:500, staff:500, axe:500"
Strength10,,suffix,85,additional_strength (56 to 60),belt:1000
StrengthEssence7_,,suffix,82,additional_strength (51 to 58),
StrengthUniqueRing2,,unique,1,additional_strength (10 to 20),
StrengthImplicitAmulet1,,unique,7,additional_strength (20 to 30),
StrengthImplicitBelt1,,unique,10,additional_strength (25 to 35),
StrengthImplicitBeltRoyale1,,unique,1,additional_strength (25 to 35),
StrengthUniqueHelmetDexInt1,,unique,1,additional_strength (20 to 20),
StrengthUniqueTwoHandMace1,,unique,1,additional_strength (10 to 10),
StrengthUniqueAmulet5,,unique,1,additional_strength (20 to 30),
StrengthUniqueIntHelmet3,,unique,1,additional_strength (20 to 30),
StrengthUniqueBootsInt1,,unique,1,additional_strength (5 to 30),
StrengthUniqueDagger2,,unique,1,additional_strength (25 to 25),
StrengthUniqueBootsStrDex1,,unique,1,additional_strength (40 to 60),
StrengthUniqueBootsStrDex1Royale,,unique,1,additional_strength (20 to 30),
StrengthUniqueGlovesDex1,,unique,1,additional_strength (20 to 30),
StrengthUniqueBelt1,,unique,10,additional_strength (20 to 30),
StrengthUniqueBelt2,,unique,20,additional_strength (40 to 50),
StrengthUniqueBelt4,,unique,1,additional_strength (25 to 25),
StrengthUniqueGlovesStr2,,unique,1,additional_strength (50 to 50),
StrengthUniqueTwoHandAxe3,,unique,1,additional_strength (15 to 30),
StrengthUniqueBodyStrInt3,,unique,1,additional_strength (30 to 40),
StrengthUniqueGlovesStrDex3,,unique,1,additional_strength (10 to 10),
StrengthUniqueHelmetStrDex3,,unique,1,additional_strength (20 to 30),
StrengthUniqueClaw5_,,unique,1,additional_strength (20 to 30),
StrengthUniqueRing8,,unique,1,additional_strength (20 to 30),
StrengthUniqueBootsDexInt2,,unique,1,additional_strength (20 to 30),
StrengthUniqueTwoHandAxe5,,unique,1,additional_strength (10 to 10),
StrengthUniqueTwoHandSword5,,unique,1,additional_strength (40 to 50),
StrengthUniqueBelt7,,unique,1,additional_strength (40 to 55),
StrengthUniqueSceptre6,,unique,1,additional_strength (50 to 70),
StrengthUniqueBodyStr4,,unique,1,additional_strength (10 to 20),
StrengthUniqueQuiver6,,unique,1,additional_strength (15 to 25),
StrengthUniqueOneHandSword8,,unique,1,additional_strength (35 to 50),
StrengthUniqueGlovesStrInt2,,unique,1,additional_strength (20 to 30),
StrengthUniqueRing31__,,unique,1,additional_strength (15 to 25),
StrengthUniqueClaw9,,unique,1,additional_strength (10 to 15),
StrengthUniqueRing36,,unique,1,additional_strength (30 to 40),
StrengthUnique__1,,unique,1,additional_strength (30 to 30),
StrengthUnique___2,,unique,1,additional_strength (30 to 50),
StrengthUnique__3,,unique,1,additional_strength (20 to 30),
StrengthUnique__4,,unique,1,additional_strength (30 to 30),
StrengthUnique__5,,unique,1,additional_strength (20 to 40),
StrengthUnique__6,,unique,1,additional_strength (20 to 30),
StrengthUnique__7_,,unique,1,additional_strength (20 to 30),
StrengthUnique__8,,unique,1,additional_strength (20 to 30),
StrengthUnique__9,,unique,1,additional_strength (20 to 40),
StrengthUnique__10,,unique,1,additional_strength (20 to 40),
StrengthUnique__11,,unique,1,additional_strength (30 to 40),
StrengthUnique__11Royale__,,unique,1,additional_strength (15 to 25),
StrengthUnique__12,,unique,1,additional_strength (200 to 200),
StrengthUnique__13_,,unique,1,additional_strength (60 to 120),
StrengthUnique__14,,unique,1,additional_strength (20 to 30),
StrengthUnique__15,,unique,1,additional_strength (20 to 20),
StrengthUnique__16,,unique,65,additional_strength (20 to 30),
StrengthUnique__17,,unique,62,additional_strength (20 to 30),
StrengthUnique__18,,unique,1,additional_strength (30 to 50),
StrengthUnique__18Royale__,,unique,1,additional_strength (15 to 30),
StrengthUnique__19_,,unique,1,additional_strength (20 to 40),
StrengthUnique__20_,,unique,1,additional_strength (20 to 20),
StrengthUnique__21,,unique,50,additional_strength (10 to 20),
StrengthUnique__22,,unique,1,additional_strength (20 to 50),
StrengthUnique__23,,unique,1,additional_strength (20 to 30),
StrengthUnique__24,,unique,1,additional_strength (20 to 30),
StrengthUnique__25,,unique,1,additional_strength (30 to 40),
StrengthUnique__26,,unique,1,additional_strength (30 to 50),
StrengthUnique__27,,unique,1,additional_strength (30 to 50),
StrengthUnique__28,,unique,1,additional_strength (30 to 40),
